HVH_105_000019_000032	故號胜
HVH_105_000020_000001	三
HVH_105_000020_000002	在城内山之北古傳此山為濃山正殿之杭今北网
HVH_105_000020_000003	之侧土山是也以其山上出故以名之
HVH_105_000020_000004	看脊
HVH_105_000020_000005	在城内之西扎角山上有佛寺黎朝里宗幸此山為
HVH_105_000020_000006	阅武故名陽德間命官重修山寺寺之正殿奉塑
HVH_105_000020_000007	崇御容朝暮之追景興己酉西山亂山撤赤寺
HVH_105_000020_000008	僧因移神像安于外之航慶寺
HVH_105_000020_000009	将
HVH_105_000020_000010	在城内之西古秦和山初朝上軍李常曾
HVH_105_000020_000011	後黎亦建行宫山上名泰和宫
HVH_105_000020_000012	。珊河
HVH_105_000020_000013	皇意现奥
HVH_105_000020_000014	卷
HVH_105_000020_000015	洱河
HVH_105_000020_000016	一名瀘江一名富良江在大羅城之左国史前黎本
HVH_105_000020_000017	國僧師與宋使耻有云白毛鋪絲水紅掉青
HVH_105_000020_000018	按此河上接山西界
HVH_105_000020_000019	安府嘉林縣
HVH_105_000020_000020	古東
HVH_105_000020_000021	地
HVH_105_000020_000022	爱慕臨游等社注洋浩艇下接在仁
HVH_105_000020_000023	今改
HVH_105_000020_000024	白鹤江經北寧顺
HVH_105_000020_000025	古利仁避國改
HVH_105_000020_000026	今朝又改爲里仁
HVH_105_000020_000027	之大黄逸入千海昔宋郭连破蜜
HVH_105_000020_000028	決里隘曾次軍于此及明張輔與数相戰以舟輯不便
HVH_105_000020_000029	往来於風湾中始置橋號東津渡橋橋一易後明
HVH_105_000020_000030	.
HVH_105_000020_000031	黄以其江流如因又名為河
HVH_105_000020_000032	事见本
HVH_105_000020_000033	国志界
HVH_105_000020_000034	在城之東從河分流沿城北轉而西抵青池之河柳
HVH_105_000021_000001	社典江合襟
HVH_105_000021_000002	上志缘
HVH_105_000021_000003	見山南
HVH_105_000021_000004	其江冬春乾涸秋夏通丹唐高
HVH_105_000021_000005	據羅城見一人白貌音從小江而上聯問之對
HVH_105_000021_000006	明永樂十一年工部向黄福重加浚治因王
HVH_105_000021_000007	怪
HVH_105_000021_000008	師吊伐民息更名日來志
HVH_105_000021_000009	事见本
HVH_105_000021_000010	在懷德府永顺縣西接
HVH_105_000021_000011	山西慈廉縣界河抱其北蘇其南相傳古有小
