HVH_107_03_000014_000014	人欲告而於财主處首歸者亦得减罪
HVH_107_03_000014_000015	官住依相盗
HVH_107_03_000014_000016	屬本身被琦告言到
HVH_107_03_000014_000017	二等其强竊盗若能捕同伴解官者
HVH_107_03_000014_000018	E原俊例可见
HVH_107_03_000014_000019	亦得免罪又依常人一體給賞
HVH_107_03_000014_000020	盗
HVH_107_03_000014_000021	自首免
HVH_107_03_000014_000022	罪俊再犯
HVH_107_03_000014_000023	者不准首
HVH_107_03_000014_000024	皇越律创
HVH_107_03_000014_000025	春三
HVH_107_03_000014_000026	名例单下
HVH_107_03_000014_000027	主
HVH_107_03_000014_000028	祝军自首
HVH_107_03_000014_000029	自言者将身所把罪自具状詞
HVH_107_03_000014_000030	而首告于官也于事未覺人未到
HVH_107_03_000014_000031	官之時先自首悔罪尚于本
HVH_107_03_000014_000032	心则免其罪所以大慢遇然情
HVH_107_03_000014_000033	應入官者入官應給者给主正脏
HVH_107_03_000014_000034	親及外祖外孙之女
HVH_107_03_000014_000035	工人皆是也篇首者代為之道
HVH_107_03_000014_000036	也相告言者互相新也获首曰告
HVH_107_03_000015_000001	,
HVH_107_03_000015_000002	S
HVH_107_03_000015_000003	親于法得相容隐于情当為首告
HVH_107_03_000015_000004	自首也均得如自首法免养若所有
HVH_107_03_000015_000005	之情罪不實则另科不之罪听有
HVH_107_03_000015_000006	實則仍坐搶奪之罪所首本罪猶
HVH_107_03_000015_000007	未首也知本犯盗一百两首为
HVH_107_03_000015_000008	六十雨首多為少是日不盡则仍
HVH_107_03_000015_000009	手散断死罪者一等一百
HVH_107_03_000015_000010	三千里如强盗得财首作病盗得财
HVH_107_03_000015_000011	測不實之强盗罪應漸如狂步脏
HVH_107_03_000015_000012	百雨首作二十雨则不盡之雨
HVH_107_03_000015_000013	罪校凡若此至死者皆得浅益
HVH_107_03_000015_000014	未经全首则有罪之心法不可
HVH_107_03_000015_000015	有所首則有罪之意情亦可原
HVH_107_03_000015_000016	罪二其逊叛者雖不自首而回歸
HVH_107_03_000015_000017	本所亦诚本罪二等益知人欲告而
HVH_107_03_000015_000018	皇越律卷三名剑下
HVH_107_03_000015_000019	十四
HVH_107_03_000015_000020	犯事白治
HVH_107_03_000015_000021	始首奥未面先首不同逃罪重
HVH_107_03_000015_000022	典犯他罪不同故皆不得全免也。
