HVH_106_000021_000011	大成堂板
HVH_106_000021_000012	皇上以欲恤之心体好生之务刑獄一事未嘗不加謹也
HVH_106_000021_000013	念有司不能仰体意刑成枉滞以干调阳之和岁
HVH_106_000021_000014	灾報命伸理免枉丁寧訓諭不烦雖應天以贵
HVH_106_000021_000015	周不止一端然即此求之则恤物安民以求玄祐之意
HVH_106_000021_000016	皆可見矣祈雨耐不以雨應非克修分政之
HVH_106_000021_000017	所感哉、
HVH_106_000021_000018	臣案禮莫大郊祀古先聖王因天事天因地事
HVH_106_000021_000019	地莫不本以誠敬而文之以禮樂改之以周官及仅禮
HVH_106_000022_000001	礼記請書蒼壁以祭天黄殊以祭地其色心玄酒
HVH_106_000022_000002	玄酒尚其觉也器用陶象地之性也之
HVH_106_000022_000003	水土之品也签制置之鐘鼓管篇之陳纪文照
HVH_106_000022_000004	声容也汉店的後武合祀于南郊成分礼于南北郊礼
HVH_106_000022_000005	仪文互有沿革要未有會通全典以復先王之盛
HVH_106_000022_000006	也安南陈黎而前郊祀之禮率多間我
HVH_106_000022_000007	世祖高皇帝大之後肇建郊壇祀天地惟典礼之祥术
HVH_106_000022_000008	有联小我
HVH_106_000022_000009	汇朝政客卷八卷
HVH_106_000022_000010	天
HVH_106_000022_000011	三
HVH_106_000022_000012	大成堂装板
HVH_106_000022_000013	皇上志进事搜求典的而行之王吊胜之品陶
HVH_106_000022_000014	金石之器歌章舞徽節康不詳俏誠足照朝
HVH_106_000022_000015	興諸後世云
HVH_106_000022_000016	謹按免服之制始放黄帝克舜而大放周故孔子
HVH_106_000022_000017	六服周之冕漢唐之後間有行之而襲煩文寝失古
HVH_106_000022_000018	意至清以蛮人八移明鼎古者冠服之久矣安南丁
HVH_106_000022_000019	李陈黎礼文猾問我
HVH_106_000022_000020	皇上即政必来一念敬天無不至至是制為免親自
HVH_106_000023_000001	裁定斟的古制而文質无為適宜不但南國之所未聞
HVH_106_000023_000002	而比朝亦顺见矣其事之何加哉
HVH_106_000023_000003	謹按自古帝王莫不以敬分為永命之本之欽
HVH_106_000023_000004	若吴天湯之荣天道高亲之最恭黄是天命自
HVH_106_000023_000005	度文王之不亦臨皆敬也奉我
HVH_106_000023_000006	皇上臨御以来就，業一念寅畏深思所天意
HVH_106_000023_000007	邱宗致其對越之誠校時本乎飲若之敬齋
HVH_106_000023_000008	成不以誓祈不以零事天不以之也水旱疾疫不
HVH_106_000023_000009	生潮改季答卷
HVH_106_000023_000010	发天
HVH_106_000023_000011	四
HVH_106_000023_000012	大民堂晟板
HVH_106_000023_000013	幸有方人或以為常效然里心不以常效面自竟方
HVH_106_000023_000014	且减膳徹蠲祖後几所以答天無一事回求敬
HVH_106_000023_000015	太也河水再清玉堡出人皆以為祥瑞然聖心不以
HVH_106_000023_000016	祥瑞而自侈朝乾省躬修考联明
HVH_106_000023_000017	刑九所以还天休無一念而非敬天也聖心感天
HVH_106_000023_000018	天應之是以实代為向者水早疾疾而今則九有連
HVH_106_000023_000019	書户口滋殖矣向之河清垒出向今果太平之瑞矣
HVH_106_000023_000020	詩曰昭事上帝丰多福我
HVH_106_000024_000001	國家邀天脊以衍億年無發之業昭事之敬基
HVH_106_000024_000002	法祖
HVH_106_000024_000003	臣謹按君德莫先放法祖詩曰不慰不忘率由首章書
HVH_106_000024_000004	于先王成意其永無您是則祖宗法度後去
