HVH_107_15_000017_000010	上期者杖八十二者
HVH_107_15_000017_000011	卷十五华数上
HVH_107_15_000017_000012	者放
HVH_107_15_000017_000013	折像者单折傷止以藏二科之
HVH_107_15_000017_000014	十六
HVH_107_15_000017_000015	佐顺猿属聚長官
HVH_107_15_000017_000016	不同较典徒二年件也若依戴官
HVH_107_15_000017_000017	長信人各首官二等如五
HVH_107_15_000017_000018	品以上最馆杖六十一年大品
HVH_107_15_000017_000019	宇傷折傷止以傷
HVH_107_15_000017_000020	科不流教杖徒也者
HVH_107_15_000017_000021	上文頂
HVH_107_15_000017_000022	等信之明两預减二
HVH_107_15_000017_000023	临分折傷
HVH_107_15_000017_000024	三项科此論湛是
HVH_107_15_000018_000001	上司官典統属官相段
HVH_107_15_000018_000002	几臨上司佐貳首領宫與所
HVH_107_15_000018_000003	QUOC
HVH_107_15_000018_000004	R1300
HVH_107_15_000018_000005	743
HVH_107_15_000018_000006	R
HVH_107_15_000018_000007	相者鱼同凡論
HVH_107_15_000018_000008	下司官品级高者及與部民有高官而
HVH_107_15_000018_000009	得以下司
HVH_107_15_000018_000010	一以臨之重一
HVH_107_15_000018_000011	以品颜之崇则不
HVH_107_15_000018_000012	者亦同凡關論
HVH_107_15_000018_000013	整臨上司謂内外諸月属下司謂
HVH_107_15_000018_000014	與來属不同故相段以凡論鄙民官
HVH_107_15_000018_000015	高不限何職但品极高于本之官
HVH_107_15_000018_000016	者相亦以凡输监臨有就之
HVH_107_15_000018_000017	分本難有久毋之義面下司都民
HVH_107_15_000018_000018	品级之尊是以相激也若既非统
HVH_107_15_000018_000019	面文品教相
HVH_107_15_000018_000020	越律倒
HVH_107_15_000018_000021	一卷五
HVH_107_15_000018_000022	两律圆上も
HVH_107_15_000018_000023	同自同凡
HVH_107_15_000018_000024	青官典属官陵
HVH_107_15_000019_000001	九品以上官政長官
HVH_107_15_000019_000002	几流内九品以上官殿非本管三品以上
HVH_107_15_000019_000003	尊
HVH_107_15_000019_000004	官佐武
HVH_107_15_000019_000005	杖六十徒一年
HVH_107_15_000019_000006	坐维成
HVH_107_15_000019_000007	非本五品
HVH_107_15_000019_000008	以上巷五品以上傷
HVH_107_15_000019_000009	非本三品以上
HVH_107_15_000019_000010	*
HVH_107_15_000019_000011	不得加至死
HVH_107_15_000019_000012	其罪重名位相次则其
HVH_107_15_000019_000013	舞控以排骨现也
HVH_107_15_000019_000014	官养本管本藏属之但品数尊
HVH_107_15_000019_000015	官者校六十徒一年但爱聞坐有
HVH_107_15_000019_000016	有月若至前一首一指以上者及段
HVH_107_15_000019_000017	非本管五品四品官者典五品四
HVH_107_15_000019_000018	信殿傷品上至一品官者
HVH_107_15_000019_000019	星越律例卷五
HVH_107_15_000019_000020	前神真大
HVH_107_15_000019_000021	九品
HVH_107_15_000019_000022	项金照凡人用最律各加二等
HVH_107_15_000019_000023	姚至鸡庆止状一流干里盖爬
HVH_107_15_000019_000024	诸不加人于之
